region,year,vrp,real_vrp,population,real_vrp_pop
Волгоградская область,2016,825586466.8,825586466.8,2561940.0,322.2505081305573
Волгоградская область,2017,850263702.3,85026370230.0,2553518.0,332.97736781177963
Волгоградская область,2018,927811740.0999999,92410049313.95999,2543595.0,364.7639424122157
Волгоградская область,2019,963214357.2,95840213827.1429,2532443.0,380.3498665912718
Волгоградская область,2020,977707730.2,95823075584.42221,2519924.0,387.9909593305195
Волгоградская область,2021,1067376192.9000001,100740674939.3077,2503227.0,426.4000799368176
Волгоградская область,2022,1218846239.7,119983237005.27014,2481432.0,491.18663727234923
Вологодская область,2016,509931657.5,509931657.5,1185243.0,430.23384867069456
Вологодская область,2017,542663401.5,53889116335.650444,1179666.0,460.01444603811586
Вологодская область,2018,615647666.8,62542955624.270096,1171486.0,525.5271226459386
Вологодская область,2019,632759493.3,63831357588.31962,1163259.0,543.9540921669206
Вологодская область,2020,624437139.4000001,61794972677.77442,1154820.0,540.7224843698585
Вологодская область,2021,1026496547.0999999,104529118176.67683,1144246.0,897.094284882796
Вологодская область,2022,1024197021.4000001,99288797436.99553,1133603.0,903.4882771128871
Воронежская область,2016,827928563.7,827928563.7,2341760.0,353.54970778388906
Воронежская область,2017,873429416.0,85295841406.25,2343280.0,372.73796387969
Воронежская область,2018,951292333.8,95407932305.91798,2340861.0,406.38565630338576
Воронежская область,2019,1001790281.6,101778664184.84782,2337457.0,428.58126656447587
Воронежская область,2020,1062765405.3,105166228204.38081,2327739.0,456.5655364712281
Воронежская область,2021,1273851868.4,131096518053.32486,2310877.0,551.2417443247737
Воронежская область,2022,1377736480.4,138384740658.96442,2293949.0,600.595950651039
Город Москва столица Российской Федерации город федерального значения,2016,15121534165.0,15121534165.0,12426540.0,1216.87405866798
Город Москва столица Российской Федерации город федерального значения,2017,16538189502.6,1626173992389.3804,12571383.0,1315.5425701849988
Город Москва столица Российской Федерации город федерального значения,2018,18777726005.1,1905468361579.4685,12745157.0,1473.322455353041
Город Москва столица Российской Федерации город федерального значения,2019,19797064282.6,2031003600135.6213,12887153.0,1536.1860204965362
Город Москва столица Российской Федерации город федерального значения,2020,20260717744.0,2057784638725.8113,12963013.0,1562.963621497564
Город Москва столица Российской Федерации город федерального значения,2021,24265759875.3,2728265373621.329,12997272.0,1866.9886938813006
Город Москва столица Российской Федерации город федерального значения,2022,28507429144.099995,3224398791459.3623,13059651.0,2182.8630140346013
Город Санкт-Петербург город федерального значения,2016,4099939663.9000006,4099939663.9000006,5368297.0,763.7318993155559
Город Санкт-Петербург город федерального значения,2017,4283036350.5999994,423643555944.60925,5450085.0,785.8659728426253
Город Санкт-Петербург город федерального значения,2018,4785218554.2,489408109301.9585,5520589.0,866.7949297076815
Город Санкт-Петербург город федерального значения,2019,5186129328.6,539958651319.1202,5563564.0,932.1595525098661
Город Санкт-Петербург город федерального значения,2020,5332558268.0,541324129872.0195,5584633.0,954.8627936697004
Город Санкт-Петербург город федерального значения,2021,9420445253.599998,1147557492735.9458,5598215.0,1682.7587460645934
Город Санкт-Петербург город федерального значения,2022,11166443700.099998,1327601459521.0513,5603980.0,1992.5916402449684
Город федерального значения Севастополь,2016,89303816.6,89303816.6,447986.0,199.34510587384426
Город федерального значения Севастополь,2017,101280916.0,9456668160.597574,469051.0,215.92730001641613
Город федерального значения Севастополь,2018,121665973.60000001,12052997011.167135,489578.0,248.51192986612963
Город федерального значения Севастополь,2019,137919357.5,14469285916.679974,510995.0,269.90353623812365
Город федерального значения Севастополь,2020,142985558.3,14625767466.13573,527088.0,271.2745467550011
Город федерального значения Севастополь,2021,187986537.39999998,20709467910.300224,539630.0,348.3619098271037
Город федерального значения Севастополь,2022,229692876.5,27682610409.530453,552863.0,415.4607497698345
Еврейская автономная область,2016,48563190.6,48563190.6,162743.0,298.4041746803242
Еврейская автономная область,2017,55268035.2,5098527232.472325,160362.0,344.64545964754745
Еврейская автономная область,2018,54577764.00000001,5060023322.878229,157877.0,345.69800540927434
Еврейская автономная область,2019,56847620.900000006,5133434563.688469,155685.0,365.14513858110934
Еврейская автономная область,2020,63177058.400000006,5790568179.275657,153641.0,411.19921375153774
Еврейская автономная область,2021,79156936.9,7567197470.2339115,151073.0,523.9648176709273
Еврейская автономная область,2022,80676231.8,7535052037.994037,148519.0,543.2047872662757
Забайкальский край,2016,279140684.50000006,279140684.50000006,1059975.0,263.34647939809906
Забайкальский край,2017,306596494.79999995,30446523813.306847,1051005.0,291.71744644411774
Забайкальский край,2018,339838879.0,35063812838.232376,1040538.0,326.59920060584045
Забайкальский край,2019,369476546.09999996,39646631246.655014,1030090.0,358.6837520022522
Забайкальский край,2020,422734532.70000005,41142855429.53934,1019906.0,414.48381782242683
Забайкальский край,2021,516630090.9,58326295051.977936,1007620.0,512.7231405688652
Забайкальский край,2022,547235633.6,64252850722.67958,996474.0,549.1720141217935
Ивановская область,2016,205818571.5,205818571.5,999551.0,205.91102555047217
Ивановская область,2017,212464732.8,21353239477.386936,987203.0,215.21888892152882
Ивановская область,2018,232493594.1,23716683217.23618,972935.0,238.96107561142315
Ивановская область,2019,254968880.5,26659623020.119343,959459.0,265.7423407357688
Ивановская область,2020,269508772.6,28546257462.76818,946222.0,284.8261534819525
Ивановская область,2021,308392185.9,33285403156.60658,931473.0,331.0801127890985
Ивановская область,2022,364016542.7,39289054435.93989,919420.0,395.9197566944378
Иркутская область,2016,1139206835.4,1139206835.4,2414025.0,471.91178028396564
Иркутская область,2017,1268311738.4,123137061980.58252,2410290.0,526.2071113434483
Иркутская область,2018,1460512151.9,145342228708.49515,2405290.0,607.2083415721181
Иркутская область,2019,1540237816.5,156188339163.96478,2399358.0,641.9374751496025
Иркутская область,2020,1494326567.4,148502039481.10803,2388558.0,625.6187069353141
Иркутская область,2021,1972480492.9999998,205036557623.72458,2372103.0,831.5323967804095
Иркутская область,2022,2356810141.6,255521525534.20453,2353904.0,1001.2346049796423
Кабардино-Балкарская Республика,2016,152970828.4,152970828.4,881219.0,173.59002518102764
Кабардино-Балкарская Республика,2017,155221748.1,15460333476.095617,886233.0,175.14778630450456
Кабардино-Балкарская Республика,2018,161577505.0,16270404138.944223,890342.0,181.47802192865214
Кабардино-Балкарская Республика,2019,171544721.3,17204978723.24331,894760.0,191.72149101435022
Кабардино-Балкарская Республика,2020,180077470.6,18078826650.89433,898978.0,200.3135456040081
Кабардино-Балкарская Республика,2021,212776900.0,22536568815.99649,902476.0,235.7701479042102
Кабардино-Балкарская Республика,2022,258862560.5,29337043082.190014,903802.0,286.41512244938605
Калининградская область,2016,417094862.1,417094862.1,982868.0,424.3650847316222
Калининградская область,2017,446677598.0,43749030166.50343,992214.0,450.18272066308276
Калининградская область,2018,493302374.0,49910024715.1812,1000498.0,493.0568316978145
Калининградская область,2019,520951191.20000005,53550721037.97783,1009884.0,515.8525050401829
Калининградская область,2020,549311195.0,56578894693.9953,1018468.0,539.3504705106101
Калининградская область,2021,683811570.5,76771310100.93831,1026313.0,666.2797514013756
Калининградская область,2022,738007571.0999999,79127363542.26291,1031661.0,715.3586023897384
Калужская область,2016,409462263.49999994,409462263.49999994,1042172.0,392.89317262409656
Калужская область,2017,457052516.8,43363616394.686905,1048957.0,435.72092735927214
Калужская область,2018,507632173.90000004,49462831365.778,1051953.0,482.5616485717518
Калужская область,2019,549755818.5999999,54799336612.27235,1052781.0,522.1939022455762
Калужская область,2020,561895765.1,55281316626.85014,1054095.0,533.0598903324653
Калужская область,2021,671155456.5,70982976863.62245,1064630.0,630.4119332538065
Калужская область,2022,693947580.5,64953269988.51642,1072053.0,647.3071578550687
Камчатский край,2016,224090984.0,224090984.0,305166.0,734.3248723645492
Камчатский край,2017,228167184.7,22568465351.13749,303034.0,752.9425236112119
Камчатский край,2018,263151292.6,27720685125.51929,301213.0,873.6385634086178
Камчатский край,2019,279337843.1,29396370731.809948,298132.0,936.9602830289939
Камчатский край,2020,296429400.09999996,31132626168.922127,294810.0,1005.4930297479732
Камчатский край,2021,351233672.5,39655103767.39158,292913.0,1199.1057839699843
Камчатский край,2022,357183538.3000001,36818420936.962715,290652.0,1228.9044572203186
Карачаево-Черкесская Республика,2016,78521139.0,78521139.0,469557.0,167.22387058440188
Карачаево-Черкесская Республика,2017,82765617.2,8202737086.223984,469583.0,176.25343592080634
Карачаево-Черкесская Республика,2018,85737929.80000001,8327370783.349852,469882.0,182.4669380823271
Карачаево-Черкесская Республика,2019,91430025.1,8986783121.226559,470105.0,194.48851873517617
Карачаево-Черкесская Республика,2020,95297068.29999998,9020305559.989223,470308.0,202.626934476981
Карачаево-Черкесская Республика,2021,108591698.3,10946819120.987934,469682.0,231.20259728922971
Карачаево-Черкесская Республика,2022,125877004.3,13247630741.370705,468770.0,268.5261520575122
Кемеровская область - Кузбасс,2016,903348871.7,903348871.7,2706960.0,333.71341715429855
Кемеровская область - Кузбасс,2017,1097860995.0,107528011263.4672,2694486.0,407.447281225436
Кемеровская область - Кузбасс,2018,1266424459.1000001,126394370599.69641,2676139.0,473.2282064197712
Кемеровская область - Кузбасс,2019,1110194803.6,110912810320.59435,2656497.0,417.9168294185914
Кемеровская область - Кузбасс,2020,1045077139.8,100439823171.13745,2634981.0,396.6165751479802
Кемеровская область - Кузбасс,2021,1823647743.9,188236061094.74866,2607141.0,699.4818246884231
Кемеровская область - Кузбасс,2022,2188751390.9,224566356230.41315,2580125.0,848.3121518918657
Кировская область,2016,313533809.1,313533809.1,1250270.0,250.77288033784706
Кировская область,2017,331754419.3,32782057243.083004,1235739.0,268.46641507632273
Кировская область,2018,353265490.29999995,35605810287.154144,1218763.0,289.85577204099565
Кировская область,2019,370472632.9,37676188174.705734,1201063.0,308.45395528794074
Кировская область,2020,396946792.79999995,40974075663.7463,1182667.0,335.63699063218974
Кировская область,2021,488594489.79999995,53460288468.14254,1160985.0,420.8447911041055
Кировская область,2022,554557184.3000001,61102438069.43606,1143644.0,484.90368007876583
Костромская область,2016,170225149.8,170225149.8,628123.0,271.00607651686056
Костромская область,2017,178485648.4,17447277458.455524,620092.0,287.83736671332645
Костромская область,2018,191812906.4,18806289845.4741,610690.0,314.09210303099775
Костромская область,2019,203821423.5,20283419461.10044,601815.0,338.6778719373894
Костромская область,2020,204114089.2,19560980137.424072,593582.0,343.86839425723826
Костромская область,2021,247507976.70000002,24929269044.80898,583596.0,424.1084186663377
Костромская область,2022,276043867.40000004,27330776193.639515,574948.0,480.11971065209383
Краснодарский край,2016,2257074474.7,2257074474.7,5614961.0,401.9750938074191
Краснодарский край,2017,2422752682.6000004,234535593668.9255,5673078.0,427.061408744953
Краснодарский край,2018,2499915466.7,244425423172.02322,5724891.0,436.6747710480426
Краснодарский край,2019,2577131143.4,252730993436.44742,5773979.0,446.33538559804254
Краснодарский край,2020,2667228174.0,256858323163.5324,5804870.0,459.4811208519743
Краснодарский край,2021,3280988791.0,341557568890.5228,5823840.0,563.3720691159098
Краснодарский край,2022,4304028274.9,484350750153.4159,5825693.0,738.8010790990874
Красноярский край,2016,1821899897.7,1821899897.7,2874424.0,633.831298966332
Красноярский край,2017,1977016065.4,191385872739.59344,2880081.0,686.444605342697
Красноярский край,2018,2374749913.1,237474991310.0,2880100.0,824.5373122808236
Красноярский край,2019,2696158902.8999996,270424737960.86996,2875636.0,937.5869904605449
Красноярский край,2020,2725096711.0999994,256654240915.8068,2867233.0,950.427367116659
Красноярский край,2021,3122115340.5,293458038103.6401,2859356.0,1091.8945876274238
Красноярский край,2022,3319026236.6000004,319765508996.9994,2850935.0,1164.1886737508923
Курганская область,2016,202100465.0,202100465.0,841365.0,240.20545779774534
Курганская область,2017,209985517.6,20729073800.5923,830177.0,252.9406591606368
Курганская область,2018,215589911.89999998,21537708868.98322,817465.0,263.72983785238506
Курганская область,2019,236825785.1,24061406251.53608,805272.0,294.09415092043434
Курганская область,2020,240188194.50000003,23768547050.18179,794199.0,302.4282257973128
Курганская область,2021,272175150.4,27230185764.698784,780364.0,348.7797366357238
Курганская область,2022,339533900.3000001,36584824678.88263,766959.0,442.70150073211227
Курская область,2016,379011264.6,379011264.6,1118759.0,338.7782932695961
Курская область,2017,404759816.6999999,39373523025.29182,1115926.0,362.7120585952831
Курская область,2018,451000461.1999999,45143917760.19455,1107508.0,407.22095118048804
Курская область,2019,495864427.79999995,50974814942.000725,1101403.0,450.2116189986771
Курская область,2020,523000524.9,54893455548.9504,1095604.0,477.3627377227538
Курская область,2021,688469126.3,76451952802.79813,1084868.0,634.6109630849098
Курская область,2022,665472525.4,69907758915.07677,1072595.0,620.4322464676789
Ленинградская область,2016,953668331.1,953668331.1,1831619.0,520.669599463644
Ленинградская область,2017,1002543284.6999999,98675520147.63779,1856619.0,539.983316286217
Ленинградская область,2018,1147644386.9,118040195306.15158,1892426.0,606.440826167047
Ленинградская область,2019,1223679613.7999997,129384848614.25076,1932223.0,633.3014428458825
Ленинградская область,2020,1238641316.3,130311978971.08228,1964107.0,630.6384103819191
Ленинградская область,2021,1473287071.7,165382889397.98886,1991648.0,739.732659435804
Ленинградская область,2022,1657842578.0,186286148697.19916,2014894.0,822.7939425101271
Липецкая область,2016,501263525.70000005,501263525.70000005,1168270.0,429.06479298449847
Липецкая область,2017,522266169.8000001,51607329031.62056,1167649.0,447.28010712123256
Липецкая область,2018,604396239.8,60977130517.37153,1163882.0,519.2933989871825
Липецкая область,2019,570022913.0,56474062557.103355,1160836.0,491.0451717555279
Липецкая область,2020,618273130.4999999,62969494213.667946,1155138.0,535.2374612383974
Липецкая область,2021,853038436.9999999,90789311560.1434,1144374.0,745.4192746427303
Липецкая область,2022,792823174.6999999,77630125126.8764,1132202.0,700.2488731692754
Магаданская область,2016,153879834.9,153879834.9,145034.0,1060.9914564860653
Магаданская область,2017,161851153.0,15254585579.641848,143741.0,1125.9915612107889
Магаданская область,2018,176370619.50000003,17105124172.05467,141407.0,1247.2552242816835
Магаданская область,2019,214414925.9,21876142564.199554,139267.0,1539.5960701386546
Магаданская область,2020,285146025.8000001,30547266428.043533,137993.0,2066.3803656707228
Магаданская область,2021,320159607.09999996,36390410276.073715,136627.0,2343.311403309741
Магаданская область,2022,315919119.1999999,33143473744.2541,135111.0,2338.219088009118
Московская область,2016,4206505962.3000007,4206505962.3000007,7882899.0,533.6242367560463
Московская область,2017,4290261254.5,421026619676.153,8024182.0,534.6664936687628
Московская область,2018,4644635008.8,464919304119.3326,8160757.0,569.1426676226238
Московская область,2019,5196136356.900001,552371221516.0309,8303032.0,625.8119150811415
Московская область,2020,5406076529.199999,568367171516.8018,8404864.0,643.2080910767859
Московская область,2021,6809951131.900001,799015098765.8167,8489558.0,802.1561466333112
